DAG,Datahub_Composer,OtherNotes
airflow_datahub_latest_run_report,,Supported
operation_generate_dataset_event_from_file,,Supported
GCS_to_BQ_fcty_CI_fact_call_session_summary_load_app,"datahub-composer-2
",Critical
call_sess_sum_load_app,"datahub-composer-2
",Critical
GCS_to_BQ_fcty_dlake_ML_predict_modl_scor_load_app,b1,Critical
predict_modl_scor_load_app,b1,Critical
aam_predict_modl_load_app,b1,Critical
aam_cust_attr_load_app,b1,Critical
GCS_to_BQ_fcty_CP_cust_subscn_load_app,"datahub-composer-2
",Critical
cust_subscn_item_load_app,"datahub-composer-2
",Critical
cust_subscn_item_profl_load_app,"datahub-composer-2",Critical
GCS_to_BQ_fcty_CP_srvc_agrmt_load_app,"datahub-composer-2",Critical
prod_instnc_subscn_item_load_app,b1,Critical
prod_instnc_subscn_item_profl_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_anchor_flags_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_date_time_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_dim_resource_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_interaction_resource_state_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_interaction_type_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_media_type_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_place_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_resource_state_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_routing_target_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_strategy_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_dim_technical_descriptor_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_fact_interaction_fact_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_fact_interaction_resource_fact_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_fact_meditation_segement_fact_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_fact_omni_irf_1_load_app,,Critical
GCS_to_BQ_DEDUP_DNTL_inc_fcty_GI_fact_omni_irf_2_load_app,,Critical
BQ_to_BQ_Denormalize_fcty_genesys_fact_interaction_fact_load_app,b1,Critical
BQ_to_BQ_Denormalize_fcty_genesys_fact_interaction_resource_load_app,b1,Critical
BQ_to_BQ_Denormalize_fcty_genesys_fact_mediation_segment_fact_load_app,b1,Critical
